number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_gamma,state
0,0.8958744756868618,2025-12-23 14:45:03.333628,2025-12-23 15:02:37.338170,0 days 00:17:34.004542,0.5691976594048015,0.08913183277333704,0.6166240128271506,COMPLETE
1,0.8924965939379247,2025-12-23 15:02:37.340172,2025-12-23 15:20:00.070247,0 days 00:17:22.730075,0.8499333374934362,0.034837415025069596,0.6302537162036194,COMPLETE
2,0.8936963775193462,2025-12-23 15:20:00.071297,2025-12-23 15:37:31.442325,0 days 00:17:31.371028,0.7719842255682133,0.6029022587574228,0.7576766051670275,COMPLETE
3,0.8913415469166729,2025-12-23 15:37:31.443281,2025-12-23 15:54:44.558132,0 days 00:17:13.114851,0.2553379771015271,0.4769285656533473,0.2519250964326153,COMPLETE
4,0.8945940635806634,2025-12-23 15:54:44.559068,2025-12-23 16:11:48.400801,0 days 00:17:03.841733,0.4522629184277235,0.3213837486269105,0.8369415426810943,COMPLETE
5,0.8858887725633439,2025-12-23 16:11:48.401840,2025-12-23 16:23:02.413800,0 days 00:11:14.011960,0.7855257593609924,0.18001360321288237,0.3033966618731506,PRUNED
6,0.8589823652409604,2025-12-23 16:23:02.415244,2025-12-23 16:28:41.084637,0 days 00:05:38.669393,0.23850617896567983,0.5768173465177969,0.43689592377377723,PRUNED
7,0.8750273514043999,2025-12-23 16:28:41.085532,2025-12-23 16:34:19.491917,0 days 00:05:38.406385,0.43539818621566573,0.2741964280262287,0.03442431866265917,PRUNED
8,0.8960433497469594,2025-12-23 16:34:19.492762,2025-12-23 16:51:29.267206,0 days 00:17:09.774444,0.6870607257205661,0.7841718778487334,0.5593325845159057,COMPLETE
9,0.8650174739194928,2025-12-23 16:51:29.268212,2025-12-23 16:57:11.478624,0 days 00:05:42.210412,0.41472493683694395,0.9946569396059596,0.7516300337889298,PRUNED
10,0.09258634306618951,2025-12-23 16:57:11.479465,2025-12-23 17:02:51.889965,0 days 00:05:40.410500,0.02204487605728611,0.8508545885078829,0.4519087483096959,PRUNED
11,0.8851487910423238,2025-12-23 17:02:51.890719,2025-12-23 17:14:10.811062,0 days 00:11:18.920343,0.6650491360019658,0.7689540942666869,0.9614374640851886,PRUNED
12,0.8993639245681099,2025-12-23 17:14:10.811886,2025-12-23 17:31:05.232843,0 days 00:16:54.420957,0.9743241045702373,0.01102759664672523,0.633466849269729,COMPLETE
13,0.8883191118074368,2025-12-23 17:31:05.233798,2025-12-23 17:42:18.993360,0 days 00:11:13.759562,0.982595121297711,0.7530711569658401,0.584035504646544,PRUNED
14,0.8931677265835315,2025-12-23 17:42:18.994175,2025-12-23 17:59:09.002791,0 days 00:16:50.008616,0.9857029176505728,0.4936615500650192,0.31084096546824586,PRUNED
